        -3,   -41.886
        -2,   -41.942
        -1,   -41.978
         0,   -41.991
         1,   -41.984
         2,   -41.953
         3,     -41.9
     41.94,        -3
    41.996,        -2
    42.032,        -1
    42.041,         0
     42.03,         1
    41.996,         2
    41.941,         3
        -3,     41.89
        -2,    41.948
        -1,    41.983
         0,    41.993
         1,    41.984
         2,    41.952
         3,    41.895
   -41.929,        -3
   -41.985,        -2
   -42.019,        -1
   -42.031,         0
   -42.019,         1
   -41.986,         2
   -41.931,         3
